FILE_FORMAT	FILENAME	ALIGNMENT_WORKFLOW_TYPE	MEAN_COVERAGE	TOTAL_READS	TOTAL_UNIQUELY_MAPPED	TOTAL_UNMAPPED_READS	PROPORTION_READS_MAPPED	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	HTAN_DATA_FILE_ID	HTAN_PARENT_ID	AVERAGE_BASE_QUALITY	AVERAGE_INSERT_SIZE	AVERAGE_READ_LENGTH	CONTAMINATION	PERCENT_GC_CONTENT	PROPORTION_COVERAGE_10X	PROPORTION_COVERAGE_30X	PROPORTION_READS_DUPLICATED	PROPORTION_TARGETS_NO_COVERAGE	SEQUENCING_BATCH_ID	GENOMIC_REFERENCE_URL	CHECKSUM
BAM	sample001_aligned.bam	BWA-MEM	45.3	150000000	142500000	7500000	0.95	PE	Illumina	2.1.0	GRCh38	HTA200_1001_D1	HTA200_1001_B1	35.2	350	150	0.001	42.5	0.98	0.92	0.15	0.02	BATCH001	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:abc123def456
bam	sample002_aligned.bam	Burrows-Wheeler Aligner	52.1	160000000	153600000	6400000	0.96	Paired	ILLUMINA	2.2.0	hg38	HTA201_1002_D2	HTA201_1002_B2	36.5	340	151	0.0008	43.1	0.99	0.94	0.12	0.01	BATCH002	https://ftp.ncbi.nlm.nih.gov/genomes/hg38	md5:def789ghi012
cram	sample003_aligned.cram	bwa mem	48.7	155000000	148200000	6800000	0.956	paired-end	Illumina HiSeq	2.1.5	GRCh38.p13	HTA202_1003_D3	HTA202_1003_B3	35.8	360	150	0.0012	41.8	0.97	0.91	0.14	0.025	BATCH003	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:ghi345jkl678
bam	sample004_aligned.bam	BWA MEM	50.2	158000000	151040000	6960000	0.956	PE sequencing	Illumina NovaSeq	2.3.0	Human GRCh38	HTA203_1004_D4	HTA203_1004_B4	36.2	355	149	0.0009	42.8	0.985	0.93	0.13	0.015	BATCH004	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:jkl901mno234
cram	sample005_aligned.cram	BWA-MEM2	46.9	152000000	145440000	6560000	0.957	paired end	Illumina sequencer	2.2.1	hg38 reference	HTA204_1005_D5	HTA204_1005_B5	35.5	345	150	0.0011	42.2	0.98	0.92	0.145	0.02	BATCH005	https://ftp.ncbi.nlm.nih.gov/genomes/hg38	md5:mno567pqr890
bam	sample006_aligned.bam	bwa-mem	49.5	157000000	150080000	6920000	0.956	Paired End	Illumina MiSeq	2.1.8	GRCh38	HTA205_1006_D6	HTA205_1006_B6	36.0	350	151	0.001	43.0	0.99	0.935	0.125	0.018	BATCH006	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:pqr123stu456
cram	sample007_aligned.cram	BWA aligner	47.3	154000000	147520000	6480000	0.958	Single	Illumina	2.2.5	GRCh38	HTA206_1007_D7	HTA206_1007_B7	35.9	0	150	0.0013	41.5	0.975	0.91	0.16	0.022	BATCH007	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:stu789vwx012
bam	sample008_aligned.bam	BWA-MEM	51.8	162000000	155520000	6480000	0.96	SE	Illumina HiSeq 2500	2.3.2	GRCh38	HTA207_1008_D8	HTA207_1008_B8	36.8	0	149	0.0007	42.9	0.995	0.945	0.11	0.012	BATCH008	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:vwx345yza678
cram	sample009_aligned.cram	BWA-MEM	44.6	148000000	141600000	6400000	0.957	single-end	Illumina NextSeq	2.1.3	GRCh38	HTA208_1009_D9	HTA208_1009_B9	35.3	0	150	0.0014	41.9	0.97	0.905	0.155	0.028	BATCH009	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:yza901bcd234
bam	sample010_aligned.bam	BWA-MEM	53.2	165000000	158400000	6600000	0.96	unpaired	Illumina	2.2.8	GRCh38	HTA209_1010_D10	HTA209_1010_B10	37.1	0	151	0.0006	43.2	0.998	0.95	0.105	0.01	BATCH010	https://ftp.ncbi.nlm.nih.gov/genomes/GRCh38	md5:bcd567efg890
