FILE_FORMAT	FILENAME	ALIGNMENT_WORKFLOW_TYPE	MEAN_COVERAGE	TOTAL_READS	TOTAL_UNIQUELY_MAPPED	TOTAL_UNMAPPED_READS	PROPORTION_READS_MAPPED	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	HTAN_DATA_FILE_ID	HTAN_PARENT_ID	AVERAGE_BASE_QUALITY	AVERAGE_INSERT_SIZE	AVERAGE_READ_LENGTH	CONTAMINATION	CONTAMINATION_ERROR	PERCENT_GC_CONTENT	PROPORTION_COVERAGE_10X	PROPORTION_COVERAGE_30X	PROPORTION_READS_DUPLICATED	PROPORTION_TARGETS_NO_COVERAGE	SHORT_READS	PAIRS_ON_DIFF_CHR	PROPORTION_BASE_MISMATCH	CHECKSUM	SEQUENCING_BATCH_ID	GENOMIC_REFERENCE_URL	WORKFLOW_LINK	IS_LOWEST_LEVEL
bam	sample001.bam	BWA-MEM	120.5	50000000	48000000	2000000	0.96	Paired-end	ILLUMINA	2.1.0	GRCh38	HTA200_1234567_D1	HTA200_1234567_B1	35.2	350	150	0.001	0.0001	45.5	0.98	0.95	0.12	0.02	100000	50000	0.001	abc123def456	BATCH001	https://genome.ref/grch38	https://dockstore.org/workflow1	true
cram	sample002.cram	BWA-MEM	85.3	45000000	43000000	2000000	0.955	Paired-end	ILLUMINA	2.0.1	GRCh38	HTA201_9876543_D2	HTA201_9876543_B2	34.8	340	148	0.002	0.0002	44.8	0.97	0.93	0.15	0.03	95000	48000	0.0015	xyz789abc012	BATCH002	https://genome.ref/grch38	https://dockstore.org/workflow2	false
bam	sample003.bam	BWA-MEM	110.2	52000000	50000000	2000000	0.962	Single-end	ILLUMINA	2.2.0	GRCh37	HTA202_5555555_D3	HTA202_5555555_B3	36.1	360	151	0.0015	0.00015	46.2	0.99	0.96	0.10	0.01	105000	52000	0.0012	def456ghi789	BATCH003	https://genome.ref/grch37	https://dockstore.org/workflow3	true
bam	sample004.bam	BWA-MEM	95.7	48000000	46000000	2000000	0.958	Paired-end	ILLUMINA	2.1.1	GRCh38	HTA203_1111111_D4	HTA203_1111111_B4	35.5	355	149	0.0018	0.00018	45.1	0.98	0.94	0.13	0.02	98000	49000	0.0011	ghi789jkl012	BATCH004	https://genome.ref/grch38	https://dockstore.org/workflow4	false
cram	sample005.cram	BWA-MEM	130.8	55000000	53000000	2000000	0.964	Single-end	ION_TORRENT	2.2.0	GRCh38	HTA204_2222222_D5	HTA204_2222222_B5	36.5	365	152	0.001	0.0001	46.8	0.99	0.97	0.11	0.01	110000	54000	0.001	jkl012mno345	BATCH005	https://genome.ref/grch38	https://dockstore.org/workflow5	true
bam	sample006.bam	BWA-MEM	105.4	49000000	47000000	2000000	0.959	Paired-end	OXFORD_NANOPORE	2.1.2	GRCh38	HTA205_3333333_D6	HTA205_3333333_B6	35.8	358	150	0.0012	0.00012	45.6	0.98	0.95	0.12	0.02	102000	50000	0.0013	mno345pqr678	BATCH006	https://genome.ref/hg38	https://dockstore.org/workflow6	false
cram	sample007.cram	BWA-MEM	115.9	51000000	49000000	2000000	0.961	Single-end	PACBIO_SMRT	2.0.0	GRCh38	HTA206_4444444_D7	HTA206_4444444_B7	36.2	362	151	0.0016	0.00016	46.1	0.99	0.96	0.10	0.01	106000	51000	0.0014	pqr678stu901	BATCH007	https://genome.ref/grch38	https://dockstore.org/workflow7	true
bam	sample008.bam	BWA-MEM	90.6	47000000	45000000	2000000	0.957	Paired-end	ABI_SOLID	2.1	GRCh38.p13	HTA207_5555555_D8	HTA207_5555555_B8	35.3	352	149	0.0019	0.00019	44.9	0.97	0.93	0.14	0.03	97000	48000	0.0016	stu901vwx234	BATCH008	https://genome.ref/grch38	https://dockstore.org/workflow8	true
cram	sample009.cram	BWA-MEM	125.3	53000000	51000000	2000000	0.962	Single-end	BGISEQ	2.2.1	GRCh37	HTA208_6666666_D9	HTA208_6666666_B9	36.4	364	152	0.0011	0.00011	46.5	0.99	0.97	0.11	0.01	108000	52000	0.001	vwx234yz567	BATCH009	https://genome.ref/grch37	https://dockstore.org/workflow9	false
bam	sample010.bam	BWA-MEM	100.8	50000000	48000000	2000000	0.96	Paired-end	LS454	2.0.2	GRCh38	HTA209_7777777_D10	HTA209_7777777_B10	35.6	356	150	0.0013	0.00013	45.3	0.98	0.94	0.12	0.02	103000	50000	0.0012	yz567abc890	BATCH010	https://genome.ref/hg38	https://dockstore.org/workflow10	true
