HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	IMAGE_MODALITY	STAINING_METHOD	SPECIES	LICENSE	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	IMAGING_SOFTWARE	IMAGING_PROTOCOL	CITATION_OR_DOI	HAS_ANNOTATIONS	ANNOTATION_TYPE	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	DE_IDENTIFIED	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	PASSED_QC	QC_COMMENT
HTA200_1001_D1	HTA200_1001_B1	slide001.ome.tif	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Leica	Aperio GT 450		20		Air		https://protocols.io/view/hne-staining-protocol-abc123	https://doi.org/10.1234/example.001	true		true		true	Automatic			true	High quality H&E slide
HTA201_2002_D2	HTA201_2002_B2	slide002.ome.tiff	ome-tiff	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	Zeiss		Zeiss Plan-Apochromat 40x/1.4	40	1.4			https://protocols.io/view/ihc-protocol-def456	https://doi.org/10.1234/example.002	true	Tissue	false		true	Manual		HistoWiz	true	Good quality IHC staining
HTA202_3003_D3	HTA202_3003_B3	slide003.svs	svs	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer S60	Olympus UPlanSApo 20x/0.75	20	0.75	Air	NDP.scan		https://doi.org/10.1234/example.003	false		true	true	true	Semiautomatic			true	Multiplex IHC panel complete
HTA203_4004_D4	HTA203_4004_B4	slide004.ome.tif	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Leica		Leica HC PL APO 40x/1.30	40		Oil		https://protocols.io/view/cycif-protocol-ghi789	https://doi.org/10.1234/example.004	true	Cell	true		true	Automatic		CellProfiler	true	CyCIF imaging complete
HTA204_5005_D5	HTA204_5005_B5	slide005.qptiff	qptiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	PerkinElmer	Vectra Polaris		40	0.95		inForm		https://doi.org/10.1234/example.005	false		false		true	Not Applicable		PerkinElmer	true	Standard H&E
HTA205_6006_D6	HTA205_6006_B6	slide006.tif	tiff	Pathological	SM	IMC	9606 (Homo sapiens)	CC BY 4.0	Fluidigm		Hyperion 40x objective	40			MCD Viewer	https://protocols.io/view/imc-protocol-jkl012	https://doi.org/10.1234/example.006	true		true	true	true	Manual			true	IMC data acquired
HTA206_7007_D7	HTA206_7007_B7	slide007.ome.tiff	ome-tiff	Pathological	SM	CODEX	9606 (Homo sapiens)	CC BY 4.0	Keyence		Nikon CFI Plan Apo Lambda 20x/0.75	20	0.75		CODEX Instrument Manager		https://doi.org/10.1234/example.007	true	ROI	false		true	Automatic		Akoya	true	CODEX multiplexing successful
HTA207_8008_D8	HTA207_8008_B8	slide008.svs	svs	Pathological	SM	t-CyCIF	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Scan.Z1	Zeiss Plan-Apochromat 20x/0.8	20		Air			https://doi.org/10.1234/example.008	false		true		true	Semiautomatic			true	Tissue CyCIF completed
HTA208_9009_D9	HTA208_9009_B9	slide009.ome.tif	ome-tiff	Pathological	SM	MxIF	9606 (Homo sapiens)	CC BY 4.0	Leica	DMi8		60	1.4	Oil	LAS X	https://protocols.io/view/mxif-protocol-mno345	https://doi.org/10.1234/example.009	true	Nucleus	true		true	Manual			true	MxIF acquisition complete
HTA209_10010_D10	HTA209_10010_B10	slide010.ome.btf	ome-tiff	Pathological	SM	GeoMX-DSP	9606 (Homo sapiens)	CC BY 4.0	NanoString		NanoString 20x objective	20				https://protocols.io/view/geomx-protocol-pqr678	https://doi.org/10.1234/example.010	true	ROI	false		true	Automatic		NanoString	true	GeoMX DSP regions selected
HTA210_11011_D11	HTA210_11011_B11	slide011.tiff	tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu		Olympus UPlanFLN 10x/0.30	10	0.30			https://protocols.io/view/hne-basic-stu901	https://doi.org/10.1234/example.011	false		true	true	true	Not Applicable		Hamamatsu	true	Low magnification overview
HTA211_12012_D12	HTA211_12012_B12	slide012.ome.tif	ome-tiff	Pathological	SM	MIBI	9606 (Homo sapiens)	CC BY 4.0	Ionpath		MIBIscope 40x objective	40		Air	MIBItracker		https://doi.org/10.1234/example.012	true		true		true	Semiautomatic			true	MIBI imaging acquired
HTA212_13013_D13	HTA212_13013_B13	slide013.svs	svs	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	Leica	Aperio AT2	Leica N Plan 20x/0.40	20	0.40		Aperio ImageScope	https://protocols.io/view/ihc-standard-vwx234	https://doi.org/10.1234/example.013	true	Tissue	false		true	Automatic		Leica	true	IHC staining optimal
HTA213_14014_D14	HTA213_14014_B14	slide014.ome.tiff	ome-tiff	Pathological	SM	SABER	9606 (Homo sapiens)	CC BY 4.0	Zeiss		Zeiss Plan-Apochromat 63x/1.4	63	1.4	Oil			https://doi.org/10.1234/example.014	false		true	true	true	Manual			true	SABER probe hybridization complete
HTA214_15015_D15	HTA214_15015_B15	slide015.qptiff	qptiff	Pathological	SM	MERFISH	9606 (Homo sapiens)	CC BY 4.0	Vizgen		Vizgen 60x objective	60			Vizgen MERSCOPE	https://protocols.io/view/merfish-protocol-yza567	https://doi.org/10.1234/example.015	true	Cell	true		true	Automatic		Vizgen	true	MERFISH encoding rounds complete
HTA215_16016_D16	HTA215_16016_B16	slide016.tif	tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Olympus		Olympus UPlanSApo 40x/0.95	40	0.95		cellSens		https://doi.org/10.1234/example.016	false		false		true	Not Applicable		Olympus	true	Standard diagnostic H&E
HTA216_17017_D17	HTA216_17017_B17	slide017.ome.tif	ome-tiff	Pathological	SM	ExSeq	9606 (Homo sapiens)	CC BY 4.0	Nikon		Nikon CFI Plan Apo Lambda 60x/1.4	60		Oil	NIS-Elements	https://protocols.io/view/exseq-protocol-bcd890	https://doi.org/10.1234/example.017	true		true	true	true	Semiautomatic			true	ExSeq sequencing cycles complete
HTA217_18018_D18	HTA217_18018_B18	slide018.svs	svs	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	NanoZoomer XR	Olympus UPlanSApo 20x/0.75	20		Air	NDP.view		https://doi.org/10.1234/example.018	true	Artifact	false		true	Manual		Hamamatsu	true	Multiplex panel with some artifacts
HTA218_19019_D19	HTA218_19019_B19	slide019.ome.tiff	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Leica		Leica HC PL APO 20x/0.80	20	0.80		LAS X AF	https://protocols.io/view/cycif-advanced-efg123	https://doi.org/10.1234/example.019	false		true		true	Automatic		Leica	true	CyCIF autofluorescence imaging
HTA219_20020_D20	HTA219_20020_B20	slide020.ome.tf8	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Zeiss	Axio Imager.Z2	Zeiss EC Plan-Neofluar 10x/0.30	10	0.30	Air	ZEN		https://doi.org/10.1234/example.020	true	Tissue	true		true	Not Applicable		Zeiss	true	H&E tissue overview scan
