HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	IMAGE_MODALITY	STAINING_METHOD	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	IMAGING_SOFTWARE	IMAGING_PROTOCOL	CITATION_OR_DOI	HAS_ANNOTATIONS	ANNOTATION_TYPE	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	DE_IDENTIFIED	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	PASSED_QC	QC_COMMENT	SPECIES	LICENSE
HTA200_1001_D1	HTA200_1001_B1	slide001.ome.tif	OME-TIFF	Pathological	Slide Microscopy	Hematoxylin and Eosin	Leica Biosystems	Aperio AT2	Plan Apo 20x	20	0.75	Atmosphere	Aperio ImageScope	https://protocols.io/view/digital-pathology-protocol-abc123	https://doi.org/10.1234/example.001	true	Region of Interest	true	true	true	Automated	Automatic redaction of PHI fields	DeID Software v1.0	true	Passed all quality checks	Human	CC BY 4.0
HTA201_2002_D2	HTA201_2002_B2	slide002.ome.tiff	OME-TIFF	Pathological	SM	Immunohistochemistry	Zeiss	Axio Scan.Z1	EC Plan-Neofluar 40x	40	0.95	Immersion Oil	ZEN Blue	https://protocols.io/view/ihc-protocol-def456	https://doi.org/10.1234/example.002	true	Cellular	false		true	Semi-automatic	Manual review with automated tools	PathRedact v2.1	true	Good image quality	Homo sapiens	CC BY 4.0
HTA202_3003_D3	HTA202_3003_B3	slide003.ome.tf2	ome-tiff	Pathological	SM	H and E	Hamamatsu	NanoZoomer S60	UPLSAPO 20x	20	0.75	Air	NDP.view2	https://protocols.io/view/he-staining-ghi789	https://doi.org/10.1234/example.003	true	Nuclear	true	true	true	Manual	Hand-redacted all identifiers	Adobe Photoshop	true	Excellent staining	9606 (Homo sapiens)	CC BY 4.0
HTA203_4004_D4	HTA203_4004_B4	slide004.svs	SVS	Pathological	SM	Multiplexed Immunofluorescence	Aperio	ScanScope XT	Plan Apo 40x	40	0.95	Water Immersion	ImageScope	https://protocols.io/view/mxif-protocol-jkl012	https://doi.org/10.1234/example.004	true	Tissue	true	true	true	Automatic	Automated de-identification pipeline	DeID Pro v3.0	true	High quality multiplex	9606 (Homo sapiens)	CC BY 4.0
HTA204_5005_D5	HTA204_5005_B5	slide005.tif	TIFF	Pathological	SM	CycIF	Leica Biosystems	Aperio GT 450	UPlanSApo 60x	60	1.42	Oil Immersion	Aperio eSlide Manager	https://protocols.io/view/cycif-protocol-mno345	https://doi.org/10.1234/example.005	false		false		true	N/A	No identifiers present in image	None	true	No annotations present	9606 (Homo sapiens)	CC BY 4.0
HTA205_6006_D6	HTA205_6006_B6	slide006.tiff	tiff	Pathological	SM	Multiplexed IHC	Zeiss	AxioScan 7	Plan-Apochromat 20x	20	0.8	Ambient Air	ZEN	https://protocols.io/view/mihc-protocol-pqr678	https://doi.org/10.1234/example.006	true	ROI	true	true	true	Semiautomatic	Semi-automated redaction workflow	RedactTool v1.5	true	Multiple ROIs annotated	Human	CC BY 4.0
HTA206_7007_D7	HTA206_7007_B7	slide007.qptiff	qptiff	Pathological	SM	IHC	Hamamatsu	NanoZoomer XR	S Fluor 40x	40	1.3	Glycerin	NDP.scan	https://protocols.io/view/ihc-advanced-stu901	https://doi.org/10.1234/example.007	true	Cells	true	true	true	Manual	Manual masking of labels	GIMP	true	Clear cell boundaries	9606 (Homo sapiens)	CC BY 4.0
HTA207_8008_D8	HTA207_8008_B8	slide008.ome.btf	ome-tiff	Pathological	SM	H&E	Aperio	ScanScope CS2	Olympus UPlanFL N 20x	20	0.5	Air	Aperio Spectrum	https://protocols.io/view/standard-he-vwx234	https://doi.org/10.1234/example.008	true	Nuclei	false		true	Automated	Fully automated de-identification	AutoDeID v4.2	true	Standard H&E quality	9606 (Homo sapiens)	CC BY 4.0
HTA208_9009_D9	HTA208_9009_B9	slide009.ome.tf8	ome-tiff	Pathological	SM	t-CycIF	Leica Biosystems	Aperio Versa	HC PL APO 40x	40	0.95	Water	Aperio ImageScope v12	https://protocols.io/view/tcycif-protocol-yza567	https://doi.org/10.1234/example.009	true	Tissue Region	true	true	true	Semi-automatic	Hybrid manual-automatic approach	DeIDKit v2.0	true	Tissue CycIF complete	9606 (Homo sapiens)	CC BY 4.0
HTA209_10010_D10	HTA209_10010_B10	slide010.ome.tif	ome-tiff	Pathological	SM	MIBI	Ionpath	MIBIscope	Custom 40x	40	0.9	Vacuum	MIBItracker	https://protocols.io/view/mibi-imaging-bcd890	https://doi.org/10.1234/example.010	true	Cell	true	true	true	Automatic	Automated PHI removal	SecureDeID v1.0	true	MIBI data validated	Homo sapiens	CC BY 4.0
HTA210_11011_D11	HTA210_11011_B11	slide011.svs	svs	Pathological	SM	IMC	Fluidigm	Hyperion	Custom 20x	20	0.8	Air	CyTOF Software	https://protocols.io/view/imc-protocol-efg123	https://doi.org/10.1234/example.011	true	Nucleus	true	true	true	Manual	Manually reviewed and redacted	ImageJ	true	IMC channels clear	9606 (Homo sapiens)	CC BY 4.0
HTA211_12012_D12	HTA211_12012_B12	slide012.tif	tiff	Pathological	SM	GeoMX-DSP	NanoString	GeoMx DSP	Custom 20x	20	0.75	Ambient	GeoMx Software	https://protocols.io/view/geomx-dsp-hij456	https://doi.org/10.1234/example.012	true	ROI	false		true	Not Applicable	No PHI in spatial data	N/A	true	Spatial profiling complete	9606 (Homo sapiens)	CC BY 4.0
HTA212_13013_D13	HTA212_13013_B13	slide013.ome.tiff	OME-TIFF	Pathological	SM	MERFISH	Vizgen	MERSCOPE	Custom 60x	60	1.4	Oil	MERSCOPE Software	https://protocols.io/view/merfish-protocol-klm789	https://doi.org/10.1234/example.013	true	Cellular	true	true	true	Semiautomatic	Semi-automated label redaction	VizDeID v1.0	true	MERFISH transcripts detected	Human	CC BY 4.0
HTA213_14014_D14	HTA213_14014_B14	slide014.ome.tf2	ome-tiff	Pathological	SM	ExSeq	Custom	Custom Microscope	Plan Apo Lambda 100x	100	1.45	Immersion Oil	Custom Software	https://protocols.io/view/exseq-protocol-nop012	https://doi.org/10.1234/example.014	true	Nuclear	true	true	true	Automatic	Automated identifier removal	ExSeqDeID v1.0	true	Expansion sequencing complete	9606 (Homo sapiens)	CC BY 4.0
HTA214_15015_D15	HTA214_15015_B15	slide015.qptiff	qptiff	Pathological	SM	SABER	Zeiss	LSM 980	Plan-Apochromat 63x	63	1.4	Oil Immersion	ZEN Black	https://protocols.io/view/saber-protocol-qrs345	https://doi.org/10.1234/example.015	true	Tissue	false		true	N/A	No identifiable information	None	true	SABER probes validated	9606 (Homo sapiens)	CC BY 4.0
HTA215_16016_D16	HTA215_16016_B16	slide016.svs	svs	Pathological	SM	Hematoxylin & Eosin	Aperio	ScanScope FL	Olympus 20x	20	0.75	Air	Aperio Spectrum Plus	https://protocols.io/view/routine-he-tuv678	https://doi.org/10.1234/example.016	true	Region of Interest	true	true	true	Manual	Manual de-identification process	Photoshop CC	true	Routine diagnostic quality	Human	CC BY 4.0
HTA216_17017_D17	HTA216_17017_B17	slide017.ome.tif	ome-tiff	Pathological	SM	mIHC	Leica Biosystems	Aperio AT Turbo	HC PL Fluotar 20x	20	0.55	Atmosphere	Aperio Console	https://protocols.io/view/mihc-advanced-wxy901	https://doi.org/10.1234/example.017	true	Cells	true	true	true	Semi-automatic	Hybrid redaction approach	DeIDMaster v2.5	true	Multiplex IHC successful	Homo sapiens	CC BY 4.0
HTA217_18018_D18	HTA217_18018_B18	slide018.tiff	tiff	Pathological	SM	Not Applicable	Hamamatsu	NanoZoomer S210	UPLSAPO 40x	40	0.95	Water Immersion	NDP.view	https://protocols.io/view/unstained-protocol-zab234	https://doi.org/10.1234/example.018	true	Artifact	true	true	true	Automated	Fully automated pipeline	AutoRedact v3.0	true	Unstained control slide	9606 (Homo sapiens)	CC BY 4.0
HTA218_19019_D19	HTA218_19019_B19	slide019.ome.btf	OME-TIFF	Pathological	SM	CODEX	Akoya Biosciences	CODEX Instrument	Plan Apo 20x	20	0.8	Glycerin	CODEX Processor	https://protocols.io/view/codex-protocol-cde567	https://doi.org/10.1234/example.019	true	Tissue	true	true	true	Automatic	Automated de-identification	CodexDeID v1.0	true	CODEX multiplexing complete	Human	CC BY 4.0
HTA219_20020_D20	HTA219_20020_B20	slide020.tif	TIFF	Pathological	SM	IHC	Zeiss	Axio Imager.Z2	EC Plan-Neofluar 20x	20	0.5	Ambient Air	AxioVision	https://protocols.io/view/ihc-basic-fgh890	https://doi.org/10.1234/example.020	true	Nucleus	false		true	NA	No patient identifiers present	Not applicable	true	Basic IHC staining	9606 (Homo sapiens)	CC BY 4.0
