HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	IMAGE_MODALITY	STAINING_METHOD	SPECIES	LICENSE	IMAGING_EQUIPMENT_MANUFACTURER	CITATION_OR_DOI	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	HAS_ANNOTATIONS	ANNOTATION_TYPE	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	DE_IDENTIFIED	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	PASSED_QC	QC_COMMENT	IMAGING_PROTOCOL	IMAGING_SOFTWARE	DE_IDENTIFICATION_SOFTWARE
HTA200_1234_D1	HTA200_1234_B1	slide001.ome.tif	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Leica Biosystems	https://doi.org/10.1234/example1	20X Objective	20	0.75	Air	true	Cell	false		true	Manual	Redacted all PHI fields manually	true	Good quality image	https://protocols.io/view/example1	ImageScope	Manual Review Tool
HTA201_5678_D2	HTA201_5678_B2	slide002.ome.tiff	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Zeiss	https://doi.org/10.1234/example2	40X Plan Apo	40	0.95	Water	false	Nucleus	true	true	true	Automatic	Automated PHI removal using software	true	Image passed all checks	https://protocols.io/view/example2	ZEN Software	AutoRedact v2.0
HTA202_9012_D3	HTA202_9012_B3	image003.ome.tf2	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Aperio	https://doi.org/10.1234/example3	60X Oil Objective	60	1.4	Oil	true	Tissue	false		true	Semiautomatic	Semi-automated redaction process	true	Excellent resolution	https://protocols.io/view/example3	Aperio ImageScope	SemiAuto Tool
HTA203_3456_D4	HTA203_3456_B4	sample004.ome.tf8	ome-tiff	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu	https://doi.org/10.1234/example4	20X Objective	20	0.75	Air	false		true	true	true	Manual	Manual redaction performed	true	Minor artifacts present	https://protocols.io/view/example4	NDP.view2	Manual Tool
HTA204_7890_D5	HTA204_7890_B5	tissue005.ome.btf	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Nikon	https://doi.org/10.1234/example5	40X Objective	40	0.85	Glycerol	true	ROI	false		true	Automatic	Automatic de-identification applied	true	High quality	https://protocols.io/view/example5	NIS-Elements	AutoPHI Remover
HTA205_1111_D6	HTA205_1111_B6	scan006.tif	tiff	Pathological	SM	MIBI	9606 (Homo sapiens)	CC BY 4.0	Leica	https://doi.org/10.1234/example6	60X Objective	60	1.3	Oil	true	Nucleus	true	true	true	Semiautomatic	Semi-automatic method used	true	Good staining quality	https://protocols.io/view/example6	Leica Application Suite	SemiRedact
HTA206_2222_D7	HTA206_2222_B7	image007.tiff	tiff	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	Olympus	https://doi.org/10.1234/example7	20X	20	0.8	Water	false		false		true	Not Applicable	N/A	true	Acceptable quality	https://protocols.io/view/example7	cellSens	
HTA207_3333_D8	HTA207_3333_B8	slide008.svs	svs	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Aperio Technologies	https://doi.org/10.1234/example8	40X Objective	40	0.95	Air	true	Artifact	true	true	true	Manual	Manual review and redaction	true	Some blur in corners	https://protocols.io/view/example8	Aperio ScanScope	Manual Redactor
HTA208_4444_D9	HTA208_4444_B9	tissue009.qptiff	qptiff	Pathological	SM	IMC	9606 (Homo sapiens)	CC BY 4.0	PerkinElmer	https://doi.org/10.1234/example9	20X Objective	20	0.75	Air	true	Cell	false		true	Automatic	Fully automated process	true	Excellent image quality	https://protocols.io/view/example9	Hyperion Imaging System	AutoDeID
HTA209_5555_D10	HTA209_5555_B10	sample010.ome.tif	ome-tiff	Pathological	SM	t-CyCIF	9606 (Homo sapiens)	CC BY 4.0	Zeiss	https://doi.org/10.1234/example10	60X Objective	60	1.4	Oil	true	Tissue	true	false	true	Semiautomatic	Semi-automated de-identification	false	Failed QC - reacquire	https://protocols.io/view/example10	ZEN Blue	SemiAuto DeID
HTA210_6666_D11	HTA210_6666_B11	image011.ome.tiff	ome-tiff	Pathological	SM	CODEX	9606 (Homo sapiens)	CC BY 4.0	Akoya Biosciences	https://doi.org/10.1234/example11	20X Objective	20	0.75	Water	true	ROI	false		true	Manual	Manual de-identification	true	Good quality	https://protocols.io/view/example11	CODEX Processor	Manual Tool
HTA211_7777_D12	HTA211_7777_B12	slide012.ome.tf2	ome-tiff	Pathological	SM	MxIF	9606 (Homo sapiens)	CC BY 4.0	Leica Microsystems	https://doi.org/10.1234/example12	40X Objective	40	0.9	Glycerol	false		true	true	true	Automatic	Automated redaction	true	Very good quality	https://protocols.io/view/example12	Leica LAS X	AutoRedact
HTA212_8888_D13	HTA212_8888_B13	tissue013.tif	tiff	Pathological	SM	GeoMX-DSP	9606 (Homo sapiens)	CC BY 4.0	NanoString	https://doi.org/10.1234/example13	20X Objective	20	0.75	Air	true	Tissue	false		true	Semiautomatic	Semi-auto redaction	true	Acceptable	https://protocols.io/view/example13	GeoMx DSP	SemiTool
HTA213_9999_D14	HTA213_9999_B14	scan014.tiff	tiff	Pathological	SM	MERFISH	9606 (Homo sapiens)	CC BY 4.0	Vizgen	https://doi.org/10.1234/example14	60X Objective	60	1.35	Oil	true	Cell	true	true	true	Manual	Manual process	true	High resolution	https://protocols.io/view/example14	MERSCOPE	Manual Redact
HTA214_1010_D15	HTA214_1010_B15	image015.svs	svs	Pathological	SM	SABER	9606 (Homo sapiens)	CC BY 4.0	Aperio	https://doi.org/10.1234/example15	20X Objective	20	0.75	Water	false		false		true	Not Applicable	Not applicable	true	Good image	https://protocols.io/view/example15	ImageScope v12	
HTA215_2020_D16	HTA215_2020_B16	slide016.qptiff	qptiff	Pathological	SM	ExSeq	9606 (Homo sapiens)	CC BY 4.0	Custom Built	https://doi.org/10.1234/example16	40X Objective	40	0.95	Water	true	Nucleus	true	true	true	Automatic	Auto de-identification	true	Excellent	https://protocols.io/view/example16	Custom Software	AutoDeID v3
HTA216_3030_D17	HTA216_3030_B17	tissue017.ome.tif	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Leica	https://doi.org/10.1234/example17	20X Objective	20	0.75	Air	true	Artifact	false		true	Manual	Manual redaction	true	Some tissue folding	https://protocols.io/view/example17	Aperio	Manual Review
HTA217_4040_D18	HTA217_4040_B18	sample018.ome.tiff	ome-tiff	Pathological	SM	Not Applicable	9606 (Homo sapiens)	CC BY 4.0	Zeiss	https://doi.org/10.1234/example18	60X Objective	60	1.4	Oil	false		true	true	true	Semiautomatic	Semi-automated method	true	Good	https://protocols.io/view/example18	ZEN	SemiRedact Tool
HTA218_5050_D19	HTA218_5050_B19	image019.ome.tf8	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	Hamamatsu Photonics	https://doi.org/10.1234/example19	40X Objective	40	0.95	Glycerol	true	Cell	false		true	Automatic	Automated de-id	true	Excellent quality	https://protocols.io/view/example19	NDP.scan	AutoPHI
HTA219_6060_D20	HTA219_6060_B20	scan020.ome.btf	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	Nikon Instruments	https://doi.org/10.1234/example20	20X Objective	20	0.8	Water	true	ROI	true	true	true	Manual	Manual de-id process	true	Very good	https://protocols.io/view/example20	NIS-Elements AR	Manual DeID Tool
