HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	IMAGE_MODALITY	STAINING_METHOD	SPECIES	LICENSE	CITATION_OR_DOI	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	IMAGING_SOFTWARE	IMAGING_PROTOCOL	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	IMMERSION	SEGMENTATION_WORKFLOW_TYPE	SEGMENTATION_METHOD	SEGMENTATION_ANNOTATION_TYPE	SEGMENTATION_PARAMETERS	SEGMENTATION_WORKFLOW_URL	SEGMENTATION_WORKFLOW_VERSION	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFICATION_SOFTWARE	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	DE_IDENTIFIED	PASSED_QC	QC_COMMENT
HTA200_1001_D1	HTA200_1001_B1	sample001_mask.ome.tiff	ome-tiff	Pathological	SM	CODEX	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/codex.2024.001	Keyence	BZ-X810	CellProfiler	https://protocols.io/view/codex-protocol-abc123	Plan Apochromat 20x	20	0.75	Oil	Automated	CellPose	Cell	model=cyto, flow_threshold=0.4	https://github.com/lab/workflow-v1	1.0	Automatic	Automated redaction using image processing algorithms	DeID-Tool-v2	TRUE	TRUE	TRUE	TRUE	All quality metrics passed
HTA201_2002_D2	HTA201_2002_B2	sample002_seg.ome.tif	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/cycif.2024.002	Zeiss	Axio Scan.Z1	Fiji/ImageJ	https://protocols.io/view/cycif-protocol-std456	Zeiss Plan-Apochromat 40x	40	0.95	Water	Manual	StarDist	Nucleus	model=2D_versatile_fluo, prob_threshold=0.5	https://github.com/lab/stardist-workflow	1.0	Semiautomatic	Manual review and redaction of PHI	Fiji-DeID	FALSE	FALSE	TRUE	TRUE	Minor artifacts in corner regions
HTA202_3003_D3	HTA202_3003_B3	tissue003_mask.ome.tiff	ome-tiff	Pathological	SM	MIBI	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/mibi.2024.003	Leica	Thunder Imager	QuPath	https://protocols.io/view/mibi-segmentation-xyz789	HC PL APO 63x	63	1.4	Oil	Automated	Ilastik	Nucleus	pixel_classification, threshold=0.7	https://github.com/lab/ilastik-workflow	2.0	Not Applicable	Not Applicable	Not Applicable	TRUE	TRUE	TRUE	TRUE	Excellent segmentation quality
HTA203_4004_D4	HTA203_4004_B4	roi004_segmentation.ome.tif	ome-tiff	Pathological	SM	MxIF	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/mxif.2024.004	Nikon	Ti2-E	NIS-Elements	https://protocols.io/view/mxif-protocol-uvw789	CFI Plan Apo Lambda 60x	60	1.4	Oil	Semi-automated	CellPose	Cell	model=cyto2, diameter=30	https://github.com/lab/cellpose-workflow	2.1	Manual	Slide label manually obscured	NIS-Elements	TRUE	TRUE	TRUE	TRUE	Good overall quality
HTA204_5005_D5	HTA204_5005_B5	cells005_mask.ome.tiff	ome-tiff	Pathological	SM	t-CyCIF	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/tcycif.2024.005	Olympus	IX83	CellProfiler	https://protocols.io/view/tcycif-protocol-def456	UPLSAPO 40x	40	0.9	Water	Automated	Mesmer	Cell	deep_learning, preprocessing=gaussian_blur	https://github.com/lab/mesmer-workflow	2.0	Automatic	Automated redaction using custom script	RedactPHI-v1.5	FALSE	FALSE	TRUE	TRUE	No issues detected
HTA205_6006_D6	HTA205_6006_B6	nuclei006_seg.ome.tif	ome-tiff	Pathological	SM	IMC	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/imc.2024.006	Fluidigm	Hyperion	IMCSegmentationPipeline	https://protocols.io/view/imc-protocol-abc123	Hyperion Imaging System	20	0.5	Air	Automated	StarDist	Nucleus	model=2D_versatile_fluo, prob_threshold=0.5	https://github.com/lab/stardist-imc	1.0	Not Applicable	Not Applicable	Not Applicable	FALSE	FALSE	TRUE	TRUE	Standard quality
HTA206_7007_D7	HTA206_7007_B7	sample007_mask.ome.tiff	ome-tiff	Pathological	SM	CODEX	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/codex.2024.007	Keyence	BZ-X810	Keyence Analysis Software	https://protocols.io/view/codex-v2-ghi789	Plan Fluor 20x	20	0.75	Oil	Automated	CellPose	Cell	model=cyto, flow_threshold=0.4	https://github.com/lab/cellpose-workflow	1.5	Automatic	Automated redaction using machine learning	CellProfiler-DeID	TRUE	TRUE	TRUE	TRUE	High quality segmentation
HTA207_8008_D8	HTA207_8008_B8	tissue008_segmentation.ome.tif	ome-tiff	Pathological	SM	H&E	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/he.2024.008	Aperio	ScanScope AT2	Aperio ImageScope	https://protocols.io/view/he-tissue-seg-jkl012	Aperio Objective	40	0.75	Air	Manual	Manual annotation	Tissue	manual_tracing, region_selection	https://github.com/lab/manual-seg	1.0	Not Applicable	Not Applicable	Not Applicable	TRUE	TRUE	TRUE	TRUE	Manual segmentation verified
HTA208_9009_D9	HTA208_9009_B9	cells009_mask.ome.tiff	ome-tiff	Pathological	SM	mIHC	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/mihc.2024.009	Leica	DMi8	LAS X	https://protocols.io/view/mihc-protocol-jkl012	HCX PL APO 100x	100	1.4	Oil	Automated	DeepCell	Cell	model=mesmer, compartment=whole-cell	https://github.com/lab/deepcell-workflow	2.0	Semiautomatic	Semi-automated with manual verification	LAS-X-DeID	FALSE	FALSE	TRUE	TRUE	Excellent cell boundaries
HTA209_10010_D10	HTA209_10010_B10	roi010_seg.ome.tif	ome-tiff	Pathological	SM	MERFISH	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/merfish.2024.010	Vizgen	MERSCOPE	MERFISH Analysis Pipeline	https://protocols.io/view/merfish-seg-mno345	Custom 60x	60	1.2	Water	Automated	Watershed	Cell	distance_transform, markers=local_maxima	https://github.com/lab/merfish-seg	1.0	Not Applicable	Not Applicable	Not Applicable	TRUE	TRUE	TRUE	TRUE	Good segmentation results
HTA210_11011_D11	HTA210_11011_B11	sample011_mask.ome.tiff	ome-tiff	Pathological	SM	GeoMX-DSP	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/geomx.2024.011	NanoString	GeoMX DSP	GeoMX Software	https://protocols.io/view/geomx-protocol-pqr345	NanoString Objective	20	0.5	Air	Automated	Custom pipeline	ROI	threshold_based, min_area=100	https://github.com/lab/geomx-workflow	1.0	Automatic	Automated redaction of slide identifiers	GeoMX-DeID	TRUE	TRUE	TRUE	TRUE	ROI segmentation validated
HTA211_12012_D12	HTA211_12012_B12	nuclei012_segmentation.ome.tif	ome-tiff	Pathological	SM	CyCIF	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/cycif.2024.012	Zeiss	Axio Scan.Z1	Zen Blue	https://protocols.io/view/cycif-nuclei-pqr678	Plan-Apochromat 63x	63	1.4	Oil	Automated	CellPose	Nucleus	model=nuclei, diameter=15	https://github.com/lab/nuclei-workflow	1.2	Manual	Manual inspection and redaction	Zen-DeID	FALSE	FALSE	TRUE	TRUE	Sharp nuclear boundaries
HTA212_13013_D13	HTA212_13013_B13	tissue013_mask.ome.tiff	ome-tiff	Pathological	SM	CODEX	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/codex.2024.013	Keyence	BZ-X800	CellProfiler	https://protocols.io/view/codex-tissue-stu678	Nikon CFI Plan Apo 40x	40	0.95	Water	Automated	Ilastik	Tissue	random_forest, features=texture+intensity	https://github.com/lab/ilastik-tissue	2.0	Not Applicable	Not Applicable	Not Applicable	TRUE	TRUE	TRUE	TRUE	Tissue regions well defined
HTA213_14014_D14	HTA213_14014_B14	cells014_seg.ome.tif	ome-tiff	Pathological	SM	IHC	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/ihc.2024.014	Hamamatsu	NanoZoomer S60	NDP.view2	https://protocols.io/view/ihc-protocol-vwx901	Olympus UPlanSApo 20x	20	0.75	Air	Manual	QuPath	Cell	cell_detection, threshold_adjustment	https://github.com/lab/qupath-workflow	0.4	Manual	Redacted using QuPath tools	QuPath-Redact	TRUE	TRUE	TRUE	TRUE	IHC staining uniform
HTA214_15015_D15	HTA214_15015_B15	sample015_mask.ome.tiff	ome-tiff	Pathological	SM	SABER	9606 (Homo sapiens)	CC BY 4.0	https://doi.org/10.1234/saber.2024.015	Nikon	Ti2-E	Nikon NIS	https://protocols.io/view/saber-protocol-yza234	CFI75 Apo 25x	25	0.8	Oil	Automated	StarDist	Nucleus	model=2D_versatile_he, nms_threshold=0.3	https://github.com/lab/saber-seg	1.8	Automatic	Automated PHI removal pipeline	SABER-DeID-v2	FALSE	FALSE	TRUE	TRUE	Nuclei well separated
